time,fx_l,fy_l,fz_l,fx_r,fy_r,fz_r,success
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0
0.87,0.0,0.0,0.0,0.0,0.0,0.0,0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0
0.89,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0
0.91,0.0,0.0,0.0,0.0,0.0,0.0,0
0.92,0.0,0.0,0.0,0.0,0.0,0.0,0
0.93,0.0,0.0,0.0,0.0,0.0,0.0,0
0.94,0.0,0.0,0.0,0.0,0.0,0.0,0
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0
0.96,0.0,0.0,0.0,0.0,0.0,0.0,0
0.97,0.0,0.0,0.0,0.0,0.0,0.0,0
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.01,0.0,0.0,0.0,0.0,0.0,0.0,0
1.02,0.0,0.0,0.0,0.0,0.0,0.0,0
1.03,0.0,0.0,0.0,0.0,0.0,0.0,0
1.04,0.0,0.0,0.0,0.0,0.0,0.0,0
1.05,0.0,0.0,0.0,0.0,0.0,0.0,0
1.06,0.0,0.0,0.0,0.0,0.0,0.0,0
1.07,0.0,0.0,0.0,0.0,0.0,0.0,0
1.08,0.0,0.0,0.0,0.0,0.0,0.0,0
1.09,0.0,0.0,0.0,0.0,0.0,0.0,0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1.11,0.0,0.0,0.0,0.0,0.0,0.0,0
1.12,0.0,0.0,0.0,0.0,0.0,0.0,0
1.13,0.0,0.0,0.0,0.0,0.0,0.0,0
1.14,0.0,0.0,0.0,0.0,0.0,0.0,0
1.15,0.0,0.0,0.0,0.0,0.0,0.0,0
1.16,0.0,0.0,0.0,0.0,0.0,0.0,0
1.17,0.0,0.0,0.0,0.0,0.0,0.0,0
1.18,0.0,0.0,0.0,0.0,0.0,0.0,0
1.19,0.0,0.0,0.0,0.0,0.0,0.0,0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1.21,0.0,0.0,0.0,0.0,0.0,0.0,0
1.22,0.0,0.0,0.0,0.0,0.0,0.0,0
1.23,0.0,0.0,0.0,0.0,0.0,0.0,0
1.24,0.0,0.0,0.0,0.0,0.0,0.0,0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0
1.26,0.0,0.0,0.0,0.0,0.0,0.0,0
1.27,0.0,0.0,0.0,0.0,0.0,0.0,0
1.28,0.0,0.0,0.0,0.0,0.0,0.0,0
1.29,0.0,0.0,0.0,0.0,0.0,0.0,0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1.31,0.0,0.0,0.0,0.0,0.0,0.0,0
1.32,0.0,0.0,0.0,0.0,0.0,0.0,0
1.33,0.0,0.0,0.0,0.0,0.0,0.0,0
1.34,0.0,0.0,0.0,0.0,0.0,0.0,0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,0
1.36,0.0,0.0,0.0,0.0,0.0,0.0,0
1.37,0.0,0.0,0.0,0.0,0.0,0.0,0
1.38,0.0,0.0,0.0,0.0,0.0,0.0,0
1.39,0.0,0.0,0.0,0.0,0.0,0.0,0
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1.41,0.0,0.0,0.0,0.0,0.0,0.0,0
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0
1.43,0.0,0.0,0.0,0.0,0.0,0.0,0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0
1.45,0.0,0.0,0.0,0.0,0.0,0.0,0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0
1.47,0.0,0.0,0.0,0.0,0.0,0.0,0
1.48,0.0,0.0,0.0,0.0,0.0,0.0,0
1.49,0.0,0.0,0.0,0.0,0.0,0.0,0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1.51,0.0,0.0,0.0,0.0,0.0,0.0,0
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0
1.53,0.0,0.0,0.0,0.0,0.0,0.0,0
1.54,0.0,0.0,0.0,0.0,0.0,0.0,0
1.55,0.0,0.0,0.0,0.0,0.0,0.0,0
1.56,0.0,0.0,0.0,0.0,0.0,0.0,0
1.57,0.0,0.0,0.0,0.0,0.0,0.0,0
1.58,0.0,0.0,0.0,0.0,0.0,0.0,0
1.59,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0
1.61,0.0,0.0,0.0,0.0,0.0,0.0,0
1.62,0.0,0.0,0.0,0.0,0.0,0.0,0
1.63,0.0,0.0,0.0,0.0,0.0,0.0,0
1.64,0.0,0.0,0.0,0.0,0.0,0.0,0
1.65,0.0,0.0,0.0,0.0,0.0,0.0,0
1.66,0.0,0.0,0.0,0.0,0.0,0.0,0
1.67,0.0,0.0,0.0,0.0,0.0,0.0,0
1.68,0.0,0.0,0.0,0.0,0.0,0.0,0
1.69,0.0,0.0,0.0,0.0,0.0,0.0,0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1.71,0.0,0.0,0.0,0.0,0.0,0.0,0
1.72,0.0,0.0,0.0,0.0,0.0,0.0,0
1.73,0.0,0.0,0.0,0.0,0.0,0.0,0
1.74,0.0,0.0,0.0,0.0,0.0,0.0,0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1.76,0.0,0.0,0.0,0.0,0.0,0.0,0
1.77,0.0,0.0,0.0,0.0,0.0,0.0,0
1.78,0.0,0.0,0.0,0.0,0.0,0.0,0
1.79,0.0,0.0,0.0,0.0,0.0,0.0,0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1.81,0.0,0.0,0.0,0.0,0.0,0.0,0
1.82,0.0,0.0,0.0,0.0,0.0,0.0,0
1.83,0.0,0.0,0.0,0.0,0.0,0.0,0
1.84,0.0,0.0,0.0,0.0,0.0,0.0,0
1.85,0.0,0.0,0.0,0.0,0.0,0.0,0
1.86,0.0,0.0,0.0,0.0,0.0,0.0,0
1.87,0.0,0.0,0.0,0.0,0.0,0.0,0
1.88,0.0,0.0,0.0,0.0,0.0,0.0,0
1.89,0.0,0.0,0.0,0.0,0.0,0.0,0
1.9,0.0,0.0,0.0,0.0,0.0,0.0,0
1.91,0.0,0.0,0.0,0.0,0.0,0.0,0
1.92,0.0,0.0,0.0,0.0,0.0,0.0,0
1.93,0.0,0.0,0.0,0.0,0.0,0.0,0
1.94,0.0,0.0,0.0,0.0,0.0,0.0,0
1.95,0.0,0.0,0.0,0.0,0.0,0.0,0
1.96,0.0,0.0,0.0,0.0,0.0,0.0,0
1.97,0.0,0.0,0.0,0.0,0.0,0.0,0
1.98,0.0,0.0,0.0,0.0,0.0,0.0,0
1.99,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.01,0.0,0.0,0.0,0.0,0.0,0.0,0
2.02,0.0,0.0,0.0,0.0,0.0,0.0,0
2.03,0.0,0.0,0.0,0.0,0.0,0.0,0
2.04,0.0,0.0,0.0,0.0,0.0,0.0,0
2.05,0.0,0.0,0.0,0.0,0.0,0.0,0
2.06,0.0,0.0,0.0,0.0,0.0,0.0,0
2.07,0.0,0.0,0.0,0.0,0.0,0.0,0
2.08,0.0,0.0,0.0,0.0,0.0,0.0,0
2.09,0.0,0.0,0.0,0.0,0.0,0.0,0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0
2.11,0.0,0.0,0.0,0.0,0.0,0.0,0
2.12,0.0,0.0,0.0,0.0,0.0,0.0,0
2.13,0.0,0.0,0.0,0.0,0.0,0.0,0
2.14,0.0,0.0,0.0,0.0,0.0,0.0,0
2.15,0.0,0.0,0.0,0.0,0.0,0.0,0
2.16,0.0,0.0,0.0,0.0,0.0,0.0,0
2.17,0.0,0.0,0.0,0.0,0.0,0.0,0
2.18,0.0,0.0,0.0,0.0,0.0,0.0,0
2.19,0.0,0.0,0.0,0.0,0.0,0.0,0
2.2,-2.65026766927351,-27.967151810360686,-4.133181837727348,-2.436598891009691,-28.17161628935034,-2.886811305549886,1
2.21,-2.281150192418595,-28.56383828856205,-4.412735162184832,-2.5979845230788756,-28.716091649977677,-3.2438166455408477,1
2.22,-1.7510682759746146,-30.564337197638633,-4.046425574917201,-1.9446643017523408,-30.6590729484913,-3.231120050902778,1
2.23,-0.5952831334176671,-34.31995732402057,-2.951554074784494,-0.6839148401768633,-34.347530152920434,-2.6134906142097702,1
2.24,1.250017608160517,-40.03139549361833,-1.24838994143038,1.2877488639442876,-40.0353064524868,-1.060574676772768,1
2.25,3.96729404164637,-47.73804986992653,0.893391662719556,3.799579043529327,-47.72680086871306,1.6295254990876646,1
2.26,7.361103204565952,-57.242112050523495,3.236952272877057,6.839339982627485,-57.092552048816465,5.485860698097569,1
2.27,11.231658945768523,-67.98921147008085,5.594034577349419,10.131968220281363,-67.4706263939177,10.20819037694422,1
2.28,15.156238553805387,-79.00415154728202,7.790990856873311,13.345026594802142,-77.90224789738528,15.197968354978059,1
2.29,18.559893924940678,-88.94106051403791,9.631410245258136,16.062092314578543,-87.19760084329191,19.649219953042024,1
2.3,18.783421640586795,-96.74124953812422,10.789549131953752,19.83988025272899,-93.59671258789015,22.785980862994563,1
2.31,21.303039139935372,-99.64872530621757,11.357424449926217,18.22560904728189,-97.34620083239322,23.55216137197992,1
2.32,17.896006273763962,-98.74788600101697,10.798088526063788,18.924235084050885,-95.98251931852491,21.98569019136316,1
2.33,16.362818097367743,-92.58027833258707,9.527860887492357,14.317344284155757,-91.3040892506345,17.868539420893885,1
2.34,11.527333121609095,-83.41864824232488,7.334138689794023,10.367827994481235,-82.85949310524491,12.204528359233237,1
2.35,5.9044998770890995,-72.19815851557694,4.411760425444205,5.584327277026751,-72.11183851092377,5.808428070061214,1
2.36,0.3149228271775264,-60.105694460140874,0.749100476407556,0.10065144026771855,-60.09867908628396,-0.3888725074572932,1
2.37,-5.468320208883009,-47.97044357063274,-3.861658868278886,-5.055788015012791,-47.838512217168976,-5.433056503026684,1
2.38,-10.368660793632902,-36.25078208341258,-9.386293556875382,-10.279887578230086,-36.442782218953305,-8.742853926853392,1
2.39,-14.695466546288312,-24.042234095679813,-15.939914138481267,-14.662893742362977,-28.21686590705703,-9.673020555297267,1
2.4,-16.655925627592314,-10.560784548462616,-20.557380095857678,-19.50964784594012,-25.12414613822254,-10.763721645299903,1
2.41,-21.932303646308316,1.4891508706288843,-16.38260874115738,-18.86528217090998,-25.170195121152855,-18.647959600433182,1
2.42,-19.98666963959634,6.66929557701559,-17.838480840788872,-23.292337617998097,-22.94617488823397,-18.959394051691294,1
2.43,-30.1439559163967,10.760592082453707,-21.516108999330527,-13.758631236006948,-23.631371587056904,-15.413182089158012,1
2.44,-22.96074932930035,8.474318846901129,-16.59524363136927,-20.162883803490516,-20.940684517270217,-19.2819241221962,1
2.45,-21.99262635791101,6.9740477646957295,-15.664340905660435,-19.457934958521815,-20.89790657861663,-18.46960699158906,1
2.46,-20.81086893260699,4.8926208386635635,-14.609284872072626,-18.547113668870406,-21.056151912611316,-17.53986878536355,1
2.47,-19.6208651105644,2.869305385011156,-13.600411463879796,-17.604851167093152,-21.18271827529926,-16.67124800912599,1
2.48,-18.557969760276304,1.3302702122393335,-12.744036950705237,-16.74808552761568,-21.123944577139458,-15.975322499835105,1
2.49,-17.69684628434203,0.48211952607636255,-12.143560027696294,-16.0213822864324,-20.82072517618785,-15.431376697136468,1
2.5,-17.061163673630826,0.3335159478571042,-11.927466063229307,-15.403545755379168,-20.300020982511278,-14.875496586899109,1
2.51,-16.500668379806825,0.6524780878176673,-11.456303328200477,-14.961214333382879,-19.566068299083263,-14.825103346456574,1
2.52,-15.988799081922842,1.1934388334404669,-10.901797923805741,-14.58843763630832,-18.743210953724404,-14.938265727437546,1
2.53,-15.505483149129544,1.72639825402191,-10.532815799434768,-14.160535264755918,-18.01811656162078,-14.766399920934894,1
2.54,-13.126029183721677,2.2927776065064585,-11.928531685156218,-15.476305442505272,-17.817744255827296,-12.574846782121726,1
2.55,-14.247815675748372,1.6575363069038165,-9.407429757981877,-13.053291405458074,-17.20138740202179,-13.938779652536372,1
2.56,-13.480559788343852,0.8432809402868722,-9.141908724095542,-12.246817260603324,-17.36318991049442,-12.640581166553579,1
2.57,-9.91064591690065,-3.6259424772523623,-13.02721438302366,-13.981253806103982,-14.878885546799928,-6.798340643861312,1
2.58,-9.730228141005702,-7.163628502451953,-11.888448847518164,-12.109094918028735,-14.289688431131358,-5.647483154292992,1
2.59,-91.55519829905829,0.31173579241291316,-13.033448899421007,90.87528213856655,-26.18063762139792,0.5709243876852756,0
2.6,-8.617028145862415,-14.530971241173827,-6.922078886324446,-8.74916363167422,-15.157168858782478,-5.442992248383566,1
2.61,-7.563892593889537,-17.39021504515589,-4.424148621327652,-7.546122255106444,-17.17340231340445,-5.306493873969819,1
2.62,-6.4475934687547936,-19.964642847930403,-2.488573206648285,-6.495282357724745,-19.66894861787164,-4.736904677453853,1
2.63,-6.000802512511196,-22.27230311139861,-1.177045605020345,-4.920726332574454,-22.407169666833532,-3.769789363273389,1
2.64,-4.457198778275709,-24.773342351706226,-0.000871467144008542,-4.62486801490244,-24.74300606956283,-2.9608287755791065,1
2.65,-4.273299184643159,-26.879827920795055,0.652792991831531,-3.168086797558475,-27.11887161589708,-1.957503052645134,1
2.66,-3.5012019517170296,-28.898202938322846,1.2075242301346565,-2.500215326298414,-29.1201154936392,-1.1885917441573048,1
2.67,-2.9258458335103623,-30.730680699921827,1.5366400722952467,-1.8282850722259971,-30.7678630355382,-0.5094069553909614,1
2.68,-2.335937104076214,-32.17021553987535,1.760472703054412,-1.3496779949628388,-32.21871608632223,-0.00657365664892616,1
2.69,-1.8168637252332611,-33.30748310485615,1.8670840943899127,-0.961832972874052,-33.35467565489372,0.3738706030839547,1
2.7,-1.0137842557403476,-34.14372006646309,1.9933951657103623,-1.000261852791507,-34.16960226833972,0.5392779979886972,1
2.71,-0.6993101067536389,-34.6670397215173,1.9403508542305634,-0.6710087610116375,-34.69354717952171,0.7310157934995096,1
2.72,-0.46363613313305163,-34.91041051041258,1.846350768309775,-0.3602972872739849,-34.93521755062847,0.8488054770708282,1
2.73,-0.3107784066426307,-34.90558421775981,1.7139276114755582,-0.038347043963816496,-34.92669763703696,0.9235667592717314,1
2.74,-0.1492714655426859,-34.694065416910355,1.5376424133943314,0.2304786883755967,-34.70796710286142,0.9901558582358602,1
2.75,0.0989597435198939,-34.31720120509723,1.4252015876954764,0.3948968157549211,-34.32937286101881,0.9674259550365027,1
2.76,0.4182420224990575,-33.82437639734379,1.3383790657528418,0.4945035175687815,-33.83401981842029,0.9183454916892062,1
2.77,0.6554975173346116,-33.25690416948984,1.220550217460399,0.7006767631192496,-33.26437490133788,0.9231310100394181,1
2.78,0.8971729736729936,-32.650003111276305,1.114333117538796,0.9373873644438193,-32.65302038964854,0.9615314150199237,1
2.79,1.1716519678314703,-32.026187446680545,1.0399106026162774,1.177706399247231,-32.02605747879245,1.0337380396489881,1
2.8,1.4988934644120941,-31.399890793557926,1.017583750064002,1.3948047291562427,-31.400244003625172,1.1367561483162818,1
2.81,1.8387248453000058,-30.782212313075892,1.042745356827122,1.6160730133480163,-30.783795572718827,1.288157407386451,1
2.82,2.090462878823673,-30.189555996208785,1.062840849164306,1.9270494930158772,-30.175127663429173,1.5480661956010602,1
2.83,2.3990496638238774,-29.617821377388893,1.1746421062661998,2.1690459901698045,-29.595130098264697,1.8212179504587152,1
2.84,2.8452745312629917,-29.06203536100623,1.402563294148901,2.2518754809227772,-29.070854076741448,2.0786084341860813,1
2.85,2.985236532312867,-28.59953419333171,1.5617160774430663,2.6155037649503257,-28.55190958002406,2.494972952492143,1
2.86,3.2591914525044094,-28.180181244546475,1.8272515100574096,2.8203273462571015,-28.116301224282648,2.880470641866777,1
2.87,3.521145278620998,-27.8366135734092,2.1297878647654587,3.0150732290695945,-27.754652777918633,3.2866444976023645,1
2.88,3.7716279343500263,-27.57526553024194,2.458990047734186,3.2008152361260036,-27.474081595617566,3.7042233508704245,1
2.89,4.1063134261703,-27.36752469983794,2.8375173581590243,3.2796193842350867,-27.303999445396396,4.09045068505471,1
2.9,4.230302902675198,-27.29315026027754,3.1543316109600115,3.5387636852273188,-27.15230803292566,4.53668081758041,1
2.91,4.427990426394411,-27.253634927049525,3.5001452488256133,3.6811324115900117,-27.094209754903396,4.933454993798895,1
2.92,4.593556780458922,-27.26261886151785,3.8325270423472055,3.796418279700731,-27.08585811746741,5.305607558614367,1
2.93,4.848763399629832,-27.266208237652858,4.19901797586451,3.7460285217471223,-27.148919164453243,5.589311377664555,1
2.94,4.793785489754672,-27.361611719975027,4.427442443493929,3.915253764577839,-27.15682669261532,5.942169541428322,1
2.95,4.814199483188457,-27.425071254297418,4.677634316466682,3.90877157810435,-27.210691693235155,6.192236390315105,1
2.96,5.067569735137776,-27.38880270578719,5.1501766341190685,3.5657937653585585,-27.364768091492245,6.1303385538314865,1
2.97,4.969932841543658,-27.447776594651042,5.324269227802922,3.474382095178073,-27.420297268698654,6.273328313613084,1
2.98,4.544840943203567,-27.60306982652999,5.199575592751928,3.6223428094131807,-27.38081892279182,6.622908053633492,1
2.99,4.363801448872961,-27.664560945963853,5.296256207375826,3.455962603938427,-27.446346193399293,6.665507665666307,1
3.0,4.409630358641602,-27.649161494025552,5.603797585146269,3.015205677495821,-27.611245199200148,6.422532276299689,1
3.01,4.1789310279886305,-27.74114676712811,5.6282478934129,2.829373774651172,-27.70024632060425,6.401679787762706,1
3.02,3.7283737837531197,-27.918220324316074,5.394152185693917,2.868695969550296,-27.739543631528786,6.59321122815761,1
3.03,3.535175286757256,-28.040128952257056,5.376550885972266,2.681338897389167,-27.86661313663107,6.5363077774459395,1
3.04,3.374115532564062,-28.17460848165573,5.3397799099446095,2.514029977546863,-28.00421420694698,6.479340022531016,1
3.05,3.2700134617288237,-28.317920902983673,5.295898524263913,2.3575663136809806,-28.14146225371746,6.421263082415274,1
3.06,3.183010172206477,-28.452202082778033,5.226315517238476,2.2602772160434466,-28.279166601814797,6.390348123569119,1
3.07,3.2247036321746743,-28.571069740381827,5.199062630160322,2.11165603941597,-28.40715836454584,6.327482199930141,1
3.08,3.2669152463093867,-28.674316083364555,5.15449059296891,2.034227679078077,-28.51247281233201,6.301055445861566,1
3.09,3.332111806994627,-28.757042214600226,5.111909731585285,1.9944988198646962,-28.59297809768591,6.300753283002226,1
3.1,3.4772934139082885,-28.800697235506195,5.153913181279025,1.921095153266875,-28.66889361965264,6.253438721540384,1
3.11,3.3935397451189826,-28.883667400642825,4.9961952320679615,2.107586359321057,-28.674012866435735,6.453171142066875,1
3.12,3.486240198798672,-28.926562787412983,5.023704717921252,2.1343958162659877,-28.710712289114017,6.524322882719938,1
3.13,3.5734113885102845,-28.98018249120115,5.093089220130478,2.172047446791041,-28.76010493561228,6.617745003169848,1
3.14,3.6492908051304154,-29.062912753476258,5.2074477363004,2.218498838599566,-28.840888462742967,6.734282769857081,1
3.15,3.711221965949859,-29.193486756517377,5.366093262776155,2.2724026238288477,-28.97183095179234,6.873460489293543,1
3.16,3.7592608716596305,-29.38832609328076,5.5639453552493405,2.3331211254954414,-29.16973285726114,7.033232130314275,1
3.17,3.796067893771478,-29.660582483938867,5.792455014898755,2.400061527829571,-29.447004005584095,7.20937429077708,1
3.18,3.825872095895516,-30.017901208600456,6.040377625751282,2.472520220545169,-29.812129882765728,7.396146665981665,1
3.19,3.8529027300968006,-30.464919939109443,6.295079763543548,2.5501325825392827,-30.267093205902903,7.587186763848775,1
3.2,4.086082687589898,-30.915927925342327,6.849582176039627,2.427125745425155,-30.896047403241976,7.470932422657989,1
3.21,4.111487914491049,-31.53852578958507,7.075300581770765,2.519145040812688,-31.523692751065298,7.660013496046415,1
3.22,4.144871985545326,-32.240357509831384,7.281043404120471,2.6101877602245587,-32.2303659989827,7.833501685913098,1
3.23,4.00203434946315,-33.09359152820008,7.180850065700056,2.881881712153553,-32.92831689589334,8.269425496348454,1
3.24,4.051077965970527,-33.92724228736129,7.339708056742888,2.9610820417927286,-33.768797507451,8.398513605029418,1
3.25,4.276397456408391,-34.7325457437743,7.7471300194608865,2.8560204509218434,-34.73503065288342,8.229272771401327,1
3.26,4.315199546993648,-35.64889866144358,7.849539899678051,2.920556815923104,-35.654306957113356,8.314066275102823,1
3.27,4.292732162336303,-36.61473224725176,7.775297312663305,3.020008478666443,-36.54589088186253,8.522588197350881,1
3.28,4.249132285131247,-37.54320736329866,7.757110660052649,3.1058487879409524,-37.44578650168724,8.617961125109618,1
3.29,4.16975507942511,-38.431470155043186,7.723063841942826,3.187058987283298,-38.30002925589857,8.664494507393771,1
3.3,4.136066968313894,-39.22634414586641,7.706664415517594,3.180729691780318,-39.103505345380796,8.616656401973632,1
3.31,4.230448310044544,-39.858039450557804,7.894925744874807,3.0080619828701347,-39.87221417351152,8.270834635823617,1
3.32,4.153594445611245,-40.43751257620125,7.768633148519295,2.9764567226357896,-40.45218143627418,8.126110511195682,1
3.33,4.055154139438731,-40.89938775069831,7.499402176809655,2.9470448946585144,-40.88165757533052,7.9898338036319245,1
3.34,3.850518847564026,-41.24231345065738,7.07391154448799,3.015064847799852,-41.15385023275199,7.857587874030658,1
3.35,3.7725119891714396,-41.413285494601126,6.7235870058297245,2.955042195275701,-41.33305944573238,7.488419339654141,1
3.36,3.69845706266509,-41.46621248531808,6.289294259394523,2.891144504182421,-41.39400406993847,7.044852940151246,1
3.37,3.7514994435953426,-41.37802050085427,5.998566514064741,2.694746104567504,-41.40155333778592,6.3184843422683175,1
3.38,3.6737533790541947,-41.26451967730333,5.438862369607818,2.6117598614468878,-41.289095412878986,5.756546005513904,1
3.39,3.580139341211331,-41.10282879813328,4.847852827847703,2.5110221486214863,-41.129778002497034,5.168034815332412,1
3.4,3.4443697949639587,-40.92729380863837,4.177371474414981,2.4018960052036604,-40.93467089865803,4.653237577742768,1
3.41,3.173347149273107,-40.7548331058997,3.4635613530366864,2.3638331602235834,-40.72276026428431,4.2256137951522,1
3.42,3.0020093237008316,-40.55967656581313,2.964140201689794,2.1550316381447203,-40.543239246154265,3.6667781533967743,1
3.43,2.8518383036881643,-40.36200861963044,2.6865818997618773,1.856051539432915,-40.38599776231593,2.9926105317030305,1
3.44,2.4546747150566537,-40.212093555700285,2.0841155017532795,1.7462429506133867,-40.1988121045467,2.7547264173003954,1
